loss,acc,test_loss,test_acc
0.15500,0.938,0.83705,0.73125
0.51420,0.812,0.85407,0.72250
0.22497,0.938,0.79171,0.74938
0.19289,0.938,0.89055,0.71875
0.07964,1.000,0.74188,0.76125
0.38501,0.875,0.78314,0.74687
1.04894,0.625,0.82518,0.74000
0.57946,0.812,0.75816,0.75875
0.48877,0.875,0.74606,0.76500
0.59622,0.750,0.74136,0.75687
0.36000,0.938,0.74053,0.76000
0.33301,0.875,0.73227,0.77000
0.45575,0.812,0.75744,0.74375
0.18561,1.000,0.83972,0.72625
0.77187,0.812,0.79701,0.73875
0.47157,0.875,0.74855,0.75875
0.28550,0.938,0.80162,0.74438
0.41938,0.812,0.80472,0.74313
0.51789,0.875,0.75312,0.75187
0.29462,0.875,0.77004,0.75562
0.24875,0.938,0.75272,0.75750
0.49995,0.875,0.75066,0.75750
0.27381,0.875,0.76877,0.75313
0.31335,0.938,0.76990,0.75500
0.28546,0.938,0.81489,0.74625
0.09286,1.000,0.78135,0.75562
0.18361,1.000,0.76622,0.75250
0.25009,0.875,0.82008,0.74375
0.37524,0.938,0.75674,0.76125
0.56744,0.875,0.76024,0.76750
0.52286,0.688,0.79513,0.75062
0.48839,0.875,0.78832,0.75125
0.39173,0.750,0.78121,0.75062
0.73616,0.812,0.78800,0.74375
0.16821,0.938,0.75803,0.76313
0.56697,0.812,0.77593,0.75187
0.61927,0.750,0.78078,0.75125
0.17866,0.938,0.77548,0.75875
0.68181,0.688,0.80849,0.74625
1.02117,0.688,0.75815,0.75000
0.46045,0.812,0.78237,0.74625
0.54713,0.812,0.80655,0.74750
0.45535,0.938,0.76800,0.74875
0.11799,1.000,0.80047,0.74125
0.58995,0.750,0.79886,0.74062
0.54866,0.812,0.84264,0.72313
1.15343,0.625,0.81308,0.73813
0.31602,0.875,0.79617,0.74938
0.34990,0.875,0.75798,0.75500
0.10724,1.000,0.76119,0.76062
0.30013,0.875,0.81487,0.74438
1.09831,0.812,0.78980,0.74687
0.48538,0.875,0.79865,0.74500
0.34949,0.875,0.83953,0.73438
0.16718,0.938,0.78618,0.75062
0.30141,0.938,0.77937,0.75938
0.19616,1.000,0.83319,0.73875
0.70864,0.750,0.80360,0.75438
0.11815,0.938,0.80318,0.74375
0.80553,0.688,0.77962,0.75062
0.66229,0.750,0.86077,0.72062
0.48583,0.875,0.78370,0.74875
0.37479,0.875,0.79262,0.73875
1.78083,0.562,0.80186,0.73687
0.94370,0.688,0.84957,0.73625
0.22496,0.938,0.83202,0.73125
0.64151,0.812,0.78136,0.74562
0.15778,1.000,0.78434,0.74750
0.38083,0.875,0.75728,0.76375
0.42527,0.812,0.79011,0.74250
0.14824,1.000,0.80820,0.73687
0.09259,1.000,0.80198,0.74875
0.66384,0.688,0.83828,0.74500
0.09431,1.000,0.82576,0.74813
0.21510,0.875,0.77577,0.76187
0.97151,0.875,0.80120,0.74500
0.61475,0.750,0.84000,0.73938
0.22240,0.938,0.79928,0.75313
0.41110,0.812,0.79441,0.75000
0.28351,0.938,0.75417,0.76438
0.39912,0.875,0.75428,0.76438
0.30083,0.875,0.81728,0.74062
0.19032,0.938,0.77732,0.76062
0.32248,0.938,0.82777,0.73813
0.31219,0.875,0.79337,0.74687
0.74617,0.812,0.79908,0.74438
0.09741,0.938,0.78126,0.74625
0.72639,0.688,0.81047,0.74250
0.45640,0.812,0.81633,0.74750
0.17627,0.938,0.83733,0.73938
0.24740,0.938,0.84762,0.74187
0.35900,0.875,0.81650,0.73000
0.22904,0.875,0.90189,0.72250
0.28863,0.938,0.77846,0.75562
0.03107,1.000,0.81000,0.74875
0.60508,0.812,0.83673,0.75438
0.14114,1.000,0.80960,0.74625
0.23871,0.938,0.79368,0.74562
0.78902,0.750,0.78374,0.76125
0.29045,0.938,0.78735,0.75187
0.09531,1.000,0.88180,0.73687
0.33334,0.875,0.77844,0.75750
0.70230,0.875,0.82505,0.74062
1.16365,0.625,0.81328,0.73875
0.15613,0.938,0.81564,0.74562
0.63359,0.750,0.81122,0.74000
0.37229,0.938,0.78788,0.75625
0.44129,0.750,0.78600,0.75625
0.24959,0.875,0.78911,0.74562
0.29595,0.938,0.77625,0.76562
0.48259,0.875,0.75896,0.76250
0.37121,0.812,0.80396,0.73875
0.65649,0.875,0.82754,0.74562
0.24850,0.875,0.79475,0.74813
0.57565,0.812,0.81664,0.74500
0.45733,0.875,0.77459,0.75625
0.21907,0.938,0.81764,0.74250
0.29262,0.875,0.76497,0.75562
0.83596,0.688,0.79427,0.75000
