loss,acc,test_loss,test_acc
0.56247,0.812,0.76777,0.75500
1.42847,0.562,0.76730,0.74938
0.66435,0.875,0.75821,0.75687
0.21620,0.938,0.79509,0.74062
0.21297,0.875,0.85558,0.73625
0.59128,0.812,0.86355,0.73062
0.30014,0.875,0.73640,0.76625
0.37332,0.875,0.75659,0.76625
0.66307,0.750,0.77136,0.75750
0.39219,0.812,0.74919,0.76750
0.17710,1.000,0.74626,0.75875
0.22981,0.875,0.81632,0.73875
0.45144,0.875,0.78452,0.74375
0.72451,0.688,0.77385,0.75562
0.58135,0.812,0.74065,0.76938
0.77280,0.750,0.82313,0.74250
0.25921,0.938,0.82538,0.73813
0.21107,0.875,0.82570,0.74250
0.80475,0.750,0.86036,0.74062
0.28831,0.812,0.81648,0.74125
0.77155,0.750,0.85368,0.73062
0.72830,0.750,0.83151,0.73313
0.67680,0.875,0.79926,0.73750
0.63463,0.812,0.76205,0.75875
0.65546,0.812,0.74491,0.75938
0.76394,0.812,0.74772,0.76438
0.48099,0.875,0.77242,0.75562
0.38282,0.938,0.78622,0.74938
0.29746,0.938,0.73414,0.76875
0.14876,0.938,0.75980,0.75438
0.47477,0.875,0.75272,0.75187
0.75533,0.812,0.71375,0.77438
0.60231,0.812,0.73556,0.75000
0.30045,0.875,0.76575,0.74187
0.38999,0.938,0.72663,0.76187
0.06524,1.000,0.76688,0.75562
0.13144,1.000,0.78615,0.75313
0.54448,0.812,0.74070,0.75438
0.34121,0.875,0.71480,0.76500
0.69570,0.750,0.73543,0.74813
0.29465,0.938,0.77094,0.74938
0.20580,0.938,0.79536,0.74750
0.11420,0.938,0.78200,0.75438
0.18994,0.875,0.77846,0.74813
0.17820,0.938,0.75437,0.75500
0.22303,0.875,0.81530,0.73750
0.13290,1.000,0.78394,0.74750
0.12086,1.000,0.76615,0.76187
0.39441,0.938,0.78130,0.74938
0.33908,0.875,0.79821,0.74750
0.20393,0.938,0.83847,0.73375
0.43985,0.812,0.79252,0.74375
0.14420,1.000,0.82450,0.74375
0.18015,0.938,0.77735,0.74938
0.43134,0.875,0.77378,0.76125
0.35141,0.875,0.71809,0.77125
0.29765,0.812,0.73468,0.76062
0.51344,0.812,0.74224,0.75687
0.97819,0.750,0.72680,0.76125
0.42319,0.875,0.74830,0.75125
0.70593,0.750,0.78371,0.74313
0.31574,0.938,0.75156,0.76562
1.08818,0.625,0.76889,0.75625
0.81962,0.750,0.76228,0.75813
0.35868,0.875,0.77610,0.75438
0.78885,0.812,0.83687,0.74187
0.46057,0.812,0.74809,0.76250
